Approved symbol	Approved name	UniProt ID(supplied by UniProt)	NCBI Gene ID	Ensembl ID(supplied by Ensembl)
ADAM8	ADAM metallopeptidase domain 8	P78325	101	ENSG00000151651
ADAM9	ADAM metallopeptidase domain 9	Q13443	8754	ENSG00000168615
ADAM10	ADAM metallopeptidase domain 10	O14672	102	ENSG00000137845
ADAM11	ADAM metallopeptidase domain 11	O75078	4185	ENSG00000073670
ADAM12	ADAM metallopeptidase domain 12	O43184	8038	ENSG00000148848
ADAM15	ADAM metallopeptidase domain 15	Q13444	8751	ENSG00000143537
ADAM17	ADAM metallopeptidase domain 17	P78536	6868	ENSG00000151694
ADAM18	ADAM metallopeptidase domain 18	Q9Y3Q7	8749	ENSG00000168619
ADAM19	ADAM metallopeptidase domain 19	Q9H013	8728	ENSG00000135074
ADAM20	ADAM metallopeptidase domain 20	O43506	8748	ENSG00000134007
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1		317760	ENSG00000259158
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2		100533671	ENSG00000248574
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3		644325	ENSG00000249162
ADAM21	ADAM metallopeptidase domain 21	Q9UKJ8	8747	ENSG00000139985
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1		145241	ENSG00000235812
ADAM22	ADAM metallopeptidase domain 22	Q9P0K1	53616	ENSG00000008277
ADAM23	ADAM metallopeptidase domain 23	O75077	8745	ENSG00000114948
ADAM24P	ADAM metallopeptidase domain 24, pseudogene		646479	ENSG00000214607
ADAM28	ADAM metallopeptidase domain 28	Q9UKQ2	10863	ENSG00000042980
ADAM29	ADAM metallopeptidase domain 29	Q9UKF5	11086	ENSG00000168594
ADAM30	ADAM metallopeptidase domain 30	Q9UKF2	11085	ENSG00000134249
ADAM32	ADAM metallopeptidase domain 32	Q8TC27	203102	ENSG00000197140
ADAM33	ADAM metallopeptidase domain 33	Q9BZ11	80332	ENSG00000149451
ADAMDEC1	ADAM like decysin 1	O15204	27299	ENSG00000134028
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	Q9UHI8	9510	ENSG00000154734
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	O95450	9509	ENSG00000087116
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	O15072	9508	ENSG00000156140
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	O75173	9507	ENSG00000158859
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	Q9UNA0	11096	ENSG00000154736
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	Q9UKP5	11174	ENSG00000049192
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	Q9UKP4	11173	ENSG00000136378
ADAMTS7P1	ADAMTS7 pseudogene 1		390660	ENSG00000274376
ADAMTS7P3	ADAMTS7 pseudogene 3		400406	ENSG00000261143
ADAMTS7P4	ADAMTS7 pseudogene 4		642935	ENSG00000218052
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	Q9UP79	11095	ENSG00000134917
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	Q9P2N4	56999	ENSG00000163638
ADAMTS9-AS1	ADAMTS9 antisense RNA 1		101929335	ENSG00000241158
ADAMTS9-AS2	ADAMTS9 antisense RNA 2		100507098	ENSG00000241684
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	Q9H324	81794	ENSG00000142303
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	P58397	81792	ENSG00000151388
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	Q76LX8	11093	ENSG00000160323
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	Q8WXS8	140766	ENSG00000138316
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	Q8TE58	170689	ENSG00000166106
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	Q8TE57	170690	ENSG00000145536
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	Q8TE56	170691	ENSG00000140470
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	Q8TE60	170692	ENSG00000140873
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	Q8TE59	171019	ENSG00000145808
ADAMTS19-AS1	ADAMTS19 antisense RNA 1			ENSG00000249421
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	P59510	80070	ENSG00000173157
ADAMTSL1	ADAMTS like 1	Q8N6G6	92949	ENSG00000178031
ADAMTSL2	ADAMTS like 2	Q86TH1	9719	ENSG00000197859
ADAMTSL3	ADAMTS like 3	P82987	57188	ENSG00000156218
ADAMTSL4	ADAMTS like 4	Q6UY14	54507	ENSG00000143382
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	Q5T5F5		ENSG00000203804
ADAMTSL5	ADAMTS like 5	Q6ZMM2	339366	ENSG00000185761
ADAP1	ArfGAP with dual PH domains 1	O75689	11033	ENSG00000105963
ADAP2	ArfGAP with dual PH domains 2	Q9NPF8	55803	ENSG00000184060
ADAR	adenosine deaminase RNA specific	P55265	103	ENSG00000160710
ADARB1	adenosine deaminase RNA specific B1	P78563	104	ENSG00000197381
ADARB2	adenosine deaminase RNA specific B2 (inactive)	Q9NS39	105	ENSG00000185736
ADARB2-AS1	ADARB2 antisense RNA 1	A8MUL3	642394	ENSG00000205696
ADAT1	adenosine deaminase tRNA specific 1	Q9BUB4	23536	ENSG00000065457
ADAT2	adenosine deaminase tRNA specific 2	Q7Z6V5	134637	ENSG00000189007
ADAT3	adenosine deaminase tRNA specific 3	Q96EY9	113179	ENSG00000213638
ADCK1	aarF domain containing kinase 1	Q86TW2	57143	ENSG00000063761
ADCK2	aarF domain containing kinase 2	Q7Z695	90956	ENSG00000133597
ADCK5	aarF domain containing kinase 5	Q3MIX3	203054	ENSG00000173137
ADCP1	adenosine deaminase complexing protein 1		106	
ADCY1	adenylate cyclase 1	Q08828	107	ENSG00000164742
ADCY2	adenylate cyclase 2	Q08462	108	ENSG00000078295
ADCY3	adenylate cyclase 3	O60266	109	ENSG00000138031
ADCY4	adenylate cyclase 4	Q8NFM4	196883	ENSG00000129467
ADCY5	adenylate cyclase 5	O95622	111	ENSG00000173175
ADCY6	adenylate cyclase 6	O43306	112	ENSG00000174233
ADCY7	adenylate cyclase 7	P51828	113	ENSG00000121281
ADCY8	adenylate cyclase 8	P40145	114	ENSG00000155897
ADCY9	adenylate cyclase 9	O60503	115	ENSG00000162104
ADCY10	adenylate cyclase 10	Q96PN6	55811	ENSG00000143199
ADCY10P1	ADCY10 pseudogene 1		221442	ENSG00000161912
ADCYAP1	adenylate cyclase activating polypeptide 1	P18509	116	ENSG00000141433
ADCYAP1R1	ADCYAP receptor type I	P41586	117	ENSG00000078549
ADD1	adducin 1	P35611	118	ENSG00000087274
ADD2	adducin 2	P35612	119	ENSG00000075340
ADD3	adducin 3	Q9UEY8	120	ENSG00000148700
ADD3-AS1	ADD3 antisense RNA 1		100505933	ENSG00000203876
ADFN	albinism-deafness syndrome		122	
ADGB	androglobin	Q8N7X0	79747	ENSG00000118492
ADGRA1	adhesion G protein-coupled receptor A1	Q86SQ6	84435	ENSG00000197177
ADGRA1-AS1	adhesion G protein-coupled receptor A1 antisense RNA 1			ENSG00000256925
ADGRA2	adhesion G protein-coupled receptor A2	Q96PE1	25960	ENSG00000020181
ADGRA3	adhesion G protein-coupled receptor A3	Q8IWK6	166647	ENSG00000152990
ADGRB1	adhesion G protein-coupled receptor B1	O14514	575	ENSG00000181790
ADGRB2	adhesion G protein-coupled receptor B2	O60241	576	ENSG00000121753
ADGRB3	adhesion G protein-coupled receptor B3	O60242	577	ENSG00000135298
ADGRD1	adhesion G protein-coupled receptor D1	Q6QNK2	283383	ENSG00000111452
ADGRD1-AS1	ADGRD1 antisense RNA 1		105755954	ENSG00000256151
ADGRD2	adhesion G protein-coupled receptor D2	Q7Z7M1	347088	ENSG00000180264
ADGRE1	adhesion G protein-coupled receptor E1	Q14246	2015	ENSG00000174837
ADGRE2	adhesion G protein-coupled receptor E2	Q9UHX3	30817	ENSG00000127507
ADGRE3	adhesion G protein-coupled receptor E3	Q9BY15	84658	ENSG00000131355
ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	Q86SQ3	326342	ENSG00000268758
ADGRE5	adhesion G protein-coupled receptor E5	P48960	976	ENSG00000123146
ADGRF1	adhesion G protein-coupled receptor F1	Q5T601	266977	ENSG00000153292
ADGRF2	adhesion G protein-coupled receptor F2	Q8IZF7	222611	ENSG00000164393
ADGRF3	adhesion G protein-coupled receptor F3	Q8IZF5	165082	ENSG00000173567
ADGRF4	adhesion G protein-coupled receptor F4	Q8IZF3	221393	ENSG00000153294
ADGRF5	adhesion G protein-coupled receptor F5	Q8IZF2	221395	ENSG00000069122
ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1		389740	ENSG00000227582
ADGRF5P2	adhesion G protein-coupled receptor F5 pseudogene 2		441416	ENSG00000204818
ADGRG1	adhesion G protein-coupled receptor G1	Q9Y653	9289	ENSG00000205336
ADGRG2	adhesion G protein-coupled receptor G2	Q8IZP9	10149	ENSG00000173698
ADGRG3	adhesion G protein-coupled receptor G3	Q86Y34	222487	ENSG00000182885
ADGRG4	adhesion G protein-coupled receptor G4	Q8IZF6	139378	ENSG00000156920
ADGRG5	adhesion G protein-coupled receptor G5	Q8IZF4	221188	ENSG00000159618
ADGRG6	adhesion G protein-coupled receptor G6	Q86SQ4	57211	ENSG00000112414
ADGRG7	adhesion G protein-coupled receptor G7	Q96K78	84873	ENSG00000144820
ADGRL1	adhesion G protein-coupled receptor L1	O94910	22859	ENSG00000072071
ADGRL2	adhesion G protein-coupled receptor L2	O95490	23266	ENSG00000117114
ADGRL3	adhesion G protein-coupled receptor L3	Q9HAR2	23284	ENSG00000150471
ADGRL3-AS1	adhesion G protein-coupled receptor L3 antisense RNA 1		101927186	ENSG00000248692
ADGRL4	adhesion G protein-coupled receptor L4	Q9HBW9	64123	ENSG00000162618
ADGRV1	adhesion G protein-coupled receptor V1	Q8WXG9	84059	ENSG00000164199
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	P07327	124	ENSG00000187758
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	P00325	125	ENSG00000196616
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	P00326	126	ENSG00000248144
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	P08319	127	ENSG00000198099
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	P11766	128	ENSG00000197894
ADH5P2	ADH5 pseudogene 2		343296	ENSG00000232676
ADH5P3	ADH5 pseudogene 3		100131810	ENSG00000223694
ADH5P4	ADH5 pseudogene 4		642443	ENSG00000233859
ADH6	alcohol dehydrogenase 6 (class V)	P28332	130	ENSG00000172955
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	P40394	131	ENSG00000196344
ADHFE1	alcohol dehydrogenase iron containing 1	Q8IWW8	137872	ENSG00000147576
ADI1	acireductone dioxygenase 1	Q9BV57	55256	ENSG00000182551
ADI1P1	acireductone dioxygenase 1 pseudogene 1		100130936	ENSG00000235102
ADI1P2	acireductone dioxygenase 1 pseudogene 2		100288971	ENSG00000250684
ADI1P3	acireductone dioxygenase 1 pseudogene 3		100288129	ENSG00000258369
ADIG	adipogenin	Q0VDE8	149685	ENSG00000182035
ADIPOQ	adiponectin, C1Q and collagen domain containing	Q15848	9370	ENSG00000181092
ADIPOQ-AS1	ADIPOQ antisense RNA 1		100874095	ENSG00000226482
ADIPOR1	adiponectin receptor 1	Q96A54	51094	ENSG00000159346
ADIPOR1P1	adiponectin receptor 1 pseudogene 1		645220	ENSG00000232497
ADIPOR1P2	adiponectin receptor 1 pseudogene 2		390503	ENSG00000258805
ADIPOR2	adiponectin receptor 2	Q86V24	79602	ENSG00000006831
ADIRF	adipogenesis regulatory factor	Q15847	10974	ENSG00000148671
ADIRF-AS1	ADIRF antisense RNA 1		100133190	ENSG00000272734
ADK	adenosine kinase	P55263	132	ENSG00000156110
ADM	adrenomedullin	P35318	133	ENSG00000148926
ADM2	adrenomedullin 2	Q7Z4H4	79924	ENSG00000128165
ADM5	adrenomedullin 5 (putative)	C9JUS6	199800	ENSG00000224420
ADNP	activity dependent neuroprotector homeobox	Q9H2P0	23394	ENSG00000101126
ADNP-AS1	ADNP antisense RNA 1		101927631	ENSG00000259456
ADNP2	ADNP homeobox 2	Q6IQ32	22850	ENSG00000101544
ADO	2-aminoethanethiol dioxygenase	Q96SZ5	84890	ENSG00000181915
ADORA1	adenosine A1 receptor	P30542	134	ENSG00000163485
ADORA2A	adenosine A2a receptor	P29274	135	ENSG00000128271
ADORA2A-AS1	ADORA2A antisense RNA 1	P86434	646023	ENSG00000178803
ADORA2B	adenosine A2b receptor	P29275	136	ENSG00000170425
ADORA2BP1	adenosine A2b receptor pseudogene 1		137	ENSG00000236136
ADORA3	adenosine A3 receptor	P0DMS8	140	ENSG00000282608
ADPGK	ADP dependent glucokinase	Q9BRR6	83440	ENSG00000159322
ADPGK-AS1	ADPGK antisense RNA 1		100287559	ENSG00000260898
ADPRH	ADP-ribosylarginine hydrolase	P54922	141	ENSG00000144843
ADPRHL1	ADP-ribosylhydrolase like 1	Q8NDY3	113622	ENSG00000153531
ADPRHL2	ADP-ribosylhydrolase like 2	Q9NX46	54936	ENSG00000116863
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	Q3LIE5	56985	ENSG00000170222
ADRA1A	adrenoceptor alpha 1A	P35348	148	ENSG00000120907
ADRA1B	adrenoceptor alpha 1B	P35368	147	ENSG00000170214
ADRA1D	adrenoceptor alpha 1D	P25100	146	ENSG00000171873
ADRA2A	adrenoceptor alpha 2A	P08913	150	ENSG00000150594
ADRA2B	adrenoceptor alpha 2B	P18089	151	ENSG00000274286
ADRA2C	adrenoceptor alpha 2C	P18825	152	ENSG00000184160
ADRB1	adrenoceptor beta 1	P08588	153	ENSG00000043591
ADRB2	adrenoceptor beta 2	P07550	154	ENSG00000169252
ADRB3	adrenoceptor beta 3	P13945	155	ENSG00000188778
ADRM1	adhesion regulating molecule 1	Q16186	11047	ENSG00000130706
ADSL	adenylosuccinate lyase	P30566	158	ENSG00000239900
ADSS	adenylosuccinate synthase	P30520	159	ENSG00000035687
ADSSL1	adenylosuccinate synthase like 1	Q8N142	122622	ENSG00000185100
ADTRP	androgen dependent TFPI regulating protein	Q96IZ2	84830	ENSG00000111863
AEBP1	AE binding protein 1	Q8IUX7	165	ENSG00000106624
AEBP2	AE binding protein 2	Q6ZN18	121536	ENSG00000139154
AEN	apoptosis enhancing nuclease	Q8WTP8	64782	ENSG00000181026
AF8T	AF8 temperature sensitivity complementing			
AFA	ankyloblepharon filiforme adnatum			
AFAP1	actin filament associated protein 1	Q8N556	60312	ENSG00000196526
AFAP1-AS1	AFAP1 antisense RNA 1		84740	ENSG00000272620
AFAP1L1	actin filament associated protein 1 like 1	Q8TED9	134265	ENSG00000157510
AFAP1L2	actin filament associated protein 1 like 2	Q8N4X5	84632	ENSG00000169129
AFD1	acrofacial dysostosis 1, Nager type			
AFDN	afadin, adherens junction formation factor	P55196	4301	ENSG00000130396
AFDN-DT	AFDN divergent transcript	Q9Y6Z5	653483	ENSG00000198221
AFF1	AF4/FMR2 family member 1	P51825	4299	ENSG00000172493
AFF1-AS1	AFF1 antisense RNA 1		100506746	
AFF2	AF4/FMR2 family member 2	P51816	2334	ENSG00000155966
AFF2-IT1	AFF2 intronic transcript 1			ENSG00000223516
AFF3	AF4/FMR2 family member 3	P51826	3899	ENSG00000144218
AFF4	AF4/FMR2 family member 4	Q9UHB7	27125	ENSG00000072364
AFG1L	AFG1 like ATPase	Q8WV93	246269	ENSG00000135537
AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene		172	ENSG00000223959
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	Q9Y4W6	10939	ENSG00000141385
AFG3L2P1	AFG3 like AAA ATPase 2 pseudogene 1		347028	ENSG00000253606
AFM	afamin	P43652	173	ENSG00000079557
AFMID	arylformamidase	Q63HM1	125061	ENSG00000183077
AFP	alpha fetoprotein	P02771	174	ENSG00000081051
AFTPH	aftiphilin	Q6ULP2	54812	ENSG00000119844
AGA	aspartylglucosaminidase	P20933	175	ENSG00000038002
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	Q9UPQ3	116987	ENSG00000157985
AGAP1-IT1	AGAP1 intronic transcript 1		100506749	ENSG00000235529
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	Q99490	116986	ENSG00000135439
AGAP2-AS1	AGAP2 antisense RNA 1		100130776	ENSG00000255737
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	Q96P47	116988	ENSG00000133612
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	Q96P64	119016	ENSG00000188234
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	A6NIR3	729092	ENSG00000172650
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	Q5VW22	414189	ENSG00000204149
AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	Q5VUJ5	653268	ENSG00000264204
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	Q5VTM2	642517	ENSG00000204172
AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene		653234	ENSG00000230869
AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	Q8TF27	119385	ENSG00000271880
AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene		414224	ENSG00000265018
AGAP13P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene		728005	ENSG00000243289
AGAP14P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene		653259	ENSG00000279058
AGBL1	ATP/GTP binding protein like 1	Q96MI9	123624	ENSG00000273540
AGBL1-AS1	AGBL1 antisense RNA 1		727915	ENSG00000260125
AGBL2	ATP/GTP binding protein like 2	Q5U5Z8	79841	ENSG00000165923
AGBL3	ATP/GTP binding protein like 3	Q8NEM8	340351	ENSG00000146856
AGBL4	ATP/GTP binding protein like 4	Q5VU57	84871	ENSG00000186094
AGBL4-IT1	AGBL4 intronic transcript 1			ENSG00000225623
AGBL5	ATP/GTP binding protein like 5	Q8NDL9	60509	ENSG00000084693
AGBL5-AS1	AGBL5 antisense RNA 1			ENSG00000231636
AGBL5-IT1	AGBL5 intronic transcript 1			ENSG00000229122
AGER	advanced glycosylation end-product specific receptor	Q15109	177	ENSG00000204305
AGFG1	ArfGAP with FG repeats 1	P52594	3267	ENSG00000173744
AGFG2	ArfGAP with FG repeats 2	O95081	3268	ENSG00000106351
AGGF1	angiogenic factor with G-patch and FHA domains 1	Q8N302	55109	ENSG00000164252
AGGF1P1	angiogenic factor with G-patch and FHA domains 1 pseudogene 1		100132380	ENSG00000214273
AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2		644435	ENSG00000233435
AGGF1P3	angiogenic factor with G-patch and FHA domains 1 pseudogene 3		391552	ENSG00000241532
AGGF1P4	angiogenic factor with G-patch and FHA domains 1 pseudogene 4		100129351	ENSG00000261689
AGGF1P5	angiogenic factor with G-patch and FHA domains 1 pseudogene 5		100128103	ENSG00000260680
AGGF1P6	angiogenic factor with G-patch and FHA domains 1 pseudogene 6			ENSG00000259836
AGGF1P7	angiogenic factor with G-patch and FHA domains 1 pseudogene 7		100132606	ENSG00000260994
AGGF1P8	angiogenic factor with G-patch and FHA domains 1 pseudogene 8		100128804	ENSG00000261752
AGGF1P9	angiogenic factor with G-patch and FHA domains 1 pseudogene 9		100127958	ENSG00000260427
AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10		100288774	ENSG00000282968
AGK	acylglycerol kinase	Q53H12	55750	ENSG00000006530
AGKP1	acylglycerol kinase pseudogene 1		359793	ENSG00000226555
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	P35573	178	ENSG00000162688
AGMAT	agmatinase	Q9BSE5	79814	ENSG00000116771
AGMO	alkylglycerol monooxygenase	Q6ZNB7	392636	ENSG00000187546
AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)			
AGO1	argonaute RISC component 1	Q9UL18	26523	ENSG00000092847
AGO2	argonaute RISC catalytic component 2	Q9UKV8	27161	ENSG00000123908
AGO3	argonaute RISC catalytic component 3	Q9H9G7	192669	ENSG00000126070
AGO4	argonaute RISC component 4	Q9HCK5	192670	ENSG00000134698
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	Q99943	10554	ENSG00000204310
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	O15120	10555	ENSG00000169692
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	Q9NRZ7	56894	ENSG00000160216
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	Q9NRZ5	56895	ENSG00000026652
AGPAT4-IT1	AGPAT4 intronic transcript 1	Q9H0P7	79992	ENSG00000279355
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	Q9NUQ2	55326	ENSG00000155189
AGPAT5P1	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1		646231	ENSG00000234652
AGPS	alkylglycerone phosphate synthase	O00116	8540	ENSG00000018510
AGR2	anterior gradient 2, protein disulphide isomerase family member	O95994	10551	ENSG00000106541
AGR3	anterior gradient 3, protein disulphide isomerase family member	Q8TD06	155465	ENSG00000173467
AGRN	agrin	O00468	375790	ENSG00000188157
AGRP	agouti related neuropeptide	O00253	181	ENSG00000159723
AGT	angiotensinogen	P01019	183	ENSG00000135744
AGTPBP1	ATP/GTP binding protein 1	Q9UPW5	23287	ENSG00000135049
AGTR1	angiotensin II receptor type 1	P30556	185	ENSG00000144891
AGTR2	angiotensin II receptor type 2	P50052	186	ENSG00000180772
AGTRAP	angiotensin II receptor associated protein	Q6RW13	57085	ENSG00000177674
AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	P21549	189	ENSG00000172482
AGXT2	alanine--glyoxylate aminotransferase 2	Q9BYV1	64902	ENSG00000113492
AHCTF1	AT-hook containing transcription factor 1	Q8WYP5	25909	ENSG00000153207
AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1		285116	
AHCY	adenosylhomocysteinase	P23526	191	ENSG00000101444
AHCYL1	adenosylhomocysteinase like 1	O43865	10768	ENSG00000168710
AHCYL2	adenosylhomocysteinase like 2	Q96HN2	23382	ENSG00000158467
AHCYP1	adenosylhomocysteinase pseudogene 1		340844	
AHCYP2	adenosylhomocysteinase pseudogene 2		392387	ENSG00000238181
AHCYP3	adenosylhomocysteinase pseudogene 3		402093	ENSG00000233955
AHCYP4	adenosylhomocysteinase pseudogene 4		129560	ENSG00000232992
AHCYP5	adenosylhomocysteinase pseudogene 5		391470	ENSG00000213107
AHCYP6	adenosylhomocysteinase pseudogene 6		100419714	
AHCYP7	adenosylhomocysteinase pseudogene 7		645486	ENSG00000259465
AHCYP8	adenosylhomocysteinase pseudogene 8			ENSG00000242529
AHDC1	AT-hook DNA binding motif containing 1	Q5TGY3	27245	ENSG00000126705
AHI1	Abelson helper integration site 1	Q8N157	54806	ENSG00000135541
AHNAK	AHNAK nucleoprotein	Q09666	79026	ENSG00000124942
AHNAK2	AHNAK nucleoprotein 2	Q8IVF2	113146	ENSG00000185567
AHR	aryl hydrocarbon receptor	P35869	196	ENSG00000106546
AHRR	aryl-hydrocarbon receptor repressor	A9YTQ3	57491	ENSG00000063438
AHSA1	activator of HSP90 ATPase activity 1	O95433	10598	ENSG00000100591
AHSA2P	activator of HSP90 ATPase homolog 2, pseudogene	Q719I0	130872	ENSG00000173209
AHSG	alpha 2-HS glycoprotein	P02765	197	ENSG00000145192
AHSP	alpha hemoglobin stabilizing protein	Q9NZD4	51327	ENSG00000169877
